constr_name,rhs,slack
R212,1.0,0.0
R213,1.0,0.0
R214,1.0,0.0
R215,1.0,0.0
R216,1.0,0.0
R217,1.0,0.0
R218,1.0,0.0
R219,1.0,0.0
R220,1.0,0.0
R221,1.0,0.0
R222,1.0,0.0
R223,1.0,0.0
R224,1.0,0.0
R225,1.0,0.0
R226,1.0,0.0
R227,1.0,0.0
R228,1.0,0.0
R229,1.0,0.0
R230,1.0,0.0
R231,1.0,0.0
R232,1.0,0.0
R233,1.0,0.0
R234,1.0,0.0
R235,1.0,0.0
R236,1.0,0.0
R237,1.0,0.0
R238,1.0,0.0
R239,1.0,0.0
R240,1.0,0.0
R241,1.0,0.0
R242,1.0,0.0
R243,1.0,0.0
R244,1.0,0.0
R245,1.0,0.0
R246,1.0,0.0
R247,1.0,0.0
R248,1.0,0.0
R249,1.0,0.0
R250,1.0,0.0
R251,1.0,0.0
R252,1.0,0.0
R253,1.0,0.0
R254,1.0,0.0
R255,1.0,0.0
R256,1.0,0.0
R257,1.0,0.0
R258,1.0,0.0
R259,1.0,0.0
R260,1.0,0.0
R261,1.0,0.0
R262,1.0,0.0
R263,1.0,0.0
R264,1.0,0.0
R265,1.0,0.0
R266,1.0,0.0
R267,1.0,0.0
R268,1.0,0.0
R269,0.0,0.0
R270,0.0,0.0
R271,0.0,0.0
R272,0.0,0.0
R273,0.0,0.0
R274,0.0,0.0
R275,0.0,0.0
R276,0.0,0.0
R277,0.0,0.0
R278,0.0,0.0
R279,0.0,0.0
R280,0.0,0.0
R281,0.0,0.0
R282,0.0,0.0
R283,0.0,0.0
R284,0.0,0.0
R285,0.0,0.0
R286,0.0,0.0
R287,0.0,0.0
R288,0.0,0.0
R289,0.0,0.0
R290,0.0,0.0
R291,0.0,0.0
R292,0.0,0.0
R293,0.0,0.0
R294,0.0,0.0
R295,0.0,0.0
R296,0.0,0.0
R297,0.0,1.0
R298,0.0,0.0
R299,0.0,0.0
R300,0.0,0.0
R301,0.0,0.0
R302,0.0,1.0
R303,0.0,1.0
R304,0.0,0.0
R305,0.0,0.0
R306,0.0,0.0
R307,0.0,1.0
R308,0.0,1.0
R309,0.0,1.0
R310,0.0,0.0
R311,0.0,0.0
R312,0.0,1.0
R313,0.0,1.0
R314,0.0,1.0
R315,0.0,1.0
R316,0.0,0.0
R317,0.0,1.0
R318,0.0,1.0
R319,0.0,1.0
R320,0.0,1.0
R321,0.0,1.0
R322,0.0,0.0
R323,0.0,0.0
R324,0.0,0.0
R325,0.0,0.0
R326,0.0,0.0
R327,0.0,0.0
R328,0.0,1.0
R329,0.0,1.0
R330,0.0,1.0
R331,0.0,1.0
R332,0.0,1.0
R333,0.0,1.0
R334,0.0,1.0
R335,0.0,1.0
R336,0.0,1.0
R337,0.0,1.0
R338,0.0,1.0
R339,0.0,1.0
R340,0.0,1.0
R341,0.0,1.0
R342,0.0,1.0
R343,0.0,1.0
R344,0.0,1.0
R345,0.0,1.0
R346,0.0,1.0
R347,0.0,1.0
R348,0.0,1.0
R349,0.0,1.0
R350,0.0,1.0
R351,0.0,1.0
R352,0.0,1.0
R353,0.0,1.0
R354,0.0,1.0
R355,0.0,1.0
R356,0.0,1.0
R357,0.0,1.0
R358,0.0,1.0
R359,0.0,1.0
R360,0.0,1.0
R361,0.0,1.0
R362,0.0,1.0
R363,0.0,1.0
R364,0.0,1.0
R365,0.0,1.0
R366,0.0,1.0
R367,0.0,1.0
R368,0.0,1.0
R369,0.0,1.0
R370,0.0,1.0
R371,0.0,1.0
R372,0.0,1.0
R373,0.0,1.0
R374,0.0,1.0
R375,0.0,1.0
R376,0.0,1.0
R377,0.0,1.0
R378,0.0,1.0
R379,0.0,1.0
R380,0.0,1.0
R381,0.0,1.0
R382,0.0,1.0
R383,0.0,1.0
R384,0.0,1.0
R385,0.0,1.0
R386,0.0,1.0
R387,0.0,1.0
R388,0.0,1.0
R389,0.0,1.0
R390,0.0,1.0
R391,0.0,1.0
R392,0.0,1.0
R393,0.0,1.0
R394,0.0,1.0
R395,0.0,1.0
R396,0.0,1.0
R397,0.0,1.0
R398,0.0,1.0
R399,0.0,1.0
R400,0.0,1.0
R401,0.0,1.0
R402,0.0,1.0
R403,0.0,1.0
R404,0.0,1.0
R405,0.0,1.0
R406,0.0,1.0
R407,0.0,1.0
R408,0.0,1.0
R409,0.0,1.0
R410,0.0,1.0
R411,0.0,1.0
R412,0.0,1.0
R413,0.0,1.0
R414,0.0,1.0
R415,1.0,1.0
R416,1.0,1.0
R417,1.0,1.0
R418,1.0,1.0
R419,1.0,1.0
R420,1.0,0.0
R421,1.0,1.0
R422,1.0,1.0
R423,1.0,1.0
R424,1.0,1.0
R425,1.0,0.0
R426,1.0,0.0
R427,1.0,1.0
R428,1.0,1.0
R429,1.0,1.0
R430,1.0,0.0
R431,1.0,0.0
R432,1.0,0.0
R433,1.0,1.0
R434,1.0,1.0
R435,1.0,0.0
R436,1.0,0.0
R437,1.0,0.0
R438,1.0,0.0
R439,1.0,1.0
R440,1.0,0.0
R441,1.0,0.0
R442,1.0,0.0
R443,1.0,0.0
R444,1.0,0.0
R445,1.0,0.0
R446,1.0,0.0
R447,1.0,0.0
R448,1.0,0.0
R449,1.0,0.0
R450,1.0,0.0
R451,1.0,0.0
R452,1.0,0.0
R453,1.0,0.0
R454,1.0,0.0
R455,1.0,0.0
R456,1.0,0.0
R457,1.0,0.0
R458,1.0,0.0
R459,1.0,0.0
R460,1.0,0.0
R461,1.0,0.0
R462,1.0,0.0
R463,1.0,0.0
R464,1.0,0.0
R465,1.0,0.0
R466,1.0,0.0
R467,1.0,0.0
R468,1.0,0.0
R469,1.0,0.0
R470,1.0,0.0
R471,1.0,0.0
R472,1.0,0.0
R473,1.0,0.0
R474,1.0,0.0
R475,1.0,0.0
R476,1.0,0.0
R477,1.0,0.0
R478,1.0,0.0
R479,1.0,0.0
R480,1.0,0.0
R481,1.0,0.0
R482,1.0,0.0
R483,1.0,0.0
R484,1.0,0.0
R485,1.0,0.0
R486,1.0,0.0
R487,1.0,0.0
R488,1.0,0.0
R489,1.0,0.0
R490,1.0,0.0
R491,1.0,0.0
R492,1.0,0.0
R493,1.0,0.0
R494,1.0,0.0
R495,1.0,0.0
R496,1.0,0.0
R497,1.0,0.0
R498,1.0,0.0
R499,1.0,0.0
R500,1.0,0.0
R501,1.0,0.0
R502,1.0,0.0
R503,1.0,0.0
R504,1.0,0.0
R505,1.0,0.0
R506,1.0,0.0
R507,1.0,0.0
R508,1.0,0.0
R509,1.0,0.0
R510,1.0,0.0
R511,1.0,0.0
R512,1.0,0.0
R513,1.0,0.0
R514,1.0,0.0
R515,1.0,0.0
R516,1.0,0.0
R517,1.0,0.0
R518,1.0,0.0
R519,1.0,0.0
R520,1.0,0.0
R521,1.0,0.0
R522,1.0,0.0
R523,1.0,0.0
R524,1.0,0.0
R525,1.0,0.0
R526,1.0,0.0
R527,1.0,0.0
R528,1.0,0.0
R529,1.0,0.0
R530,1.0,0.0
R531,1.0,0.0
R532,1.0,0.0
R533,1.0,0.0
R534,1.0,0.0
R535,1.0,0.0
R536,1.0,0.0
R537,1.0,0.0
R538,0.0,0.0
R539,0.0,0.0
R540,0.0,0.0
R541,0.0,0.0
R542,0.0,0.0
R543,0.0,0.0
R544,0.0,0.0
R545,0.0,0.0
R546,0.0,0.0
R547,0.0,0.0
R548,0.0,0.0
R549,0.0,0.0
R550,0.0,0.0
R551,0.0,0.0
R552,0.0,0.0
R553,0.0,0.0
R554,0.0,0.0
R555,0.0,0.0
R556,0.0,0.0
R557,0.0,0.0
R558,0.0,0.0
R559,0.0,0.0
R560,0.0,0.0
R561,0.0,1.0
R562,0.0,1.0
R563,0.0,1.0
R564,0.0,1.0
R565,0.0,1.0
R566,0.0,1.0
R567,0.0,1.0
R568,0.0,1.0
R569,0.0,1.0
R570,0.0,1.0
R571,0.0,1.0
R572,0.0,1.0
R573,0.0,1.0
R574,0.0,1.0
R575,0.0,1.0
R576,0.0,1.0
R577,0.0,1.0
R578,0.0,1.0
R579,0.0,1.0
R580,0.0,1.0
R581,0.0,1.0
R582,0.0,1.0
R583,0.0,1.0
R584,0.0,1.0
R585,0.0,1.0
R586,0.0,1.0
R587,0.0,1.0
R588,0.0,1.0
R589,0.0,1.0
R590,0.0,1.0
R591,0.0,1.0
R592,0.0,1.0
R593,0.0,1.0
R594,0.0,1.0
R595,0.0,1.0
R596,0.0,1.0
R597,0.0,1.0
R598,0.0,1.0
R599,0.0,1.0
R600,0.0,1.0
R601,0.0,1.0
R602,0.0,1.0
R603,0.0,1.0
R604,0.0,1.0
R605,0.0,1.0
R606,0.0,1.0
R607,0.0,1.0
R608,0.0,1.0
R609,0.0,1.0
R610,0.0,1.0
R611,0.0,1.0
R612,0.0,1.0
R613,0.0,1.0
R614,0.0,1.0
R615,0.0,1.0
R616,0.0,1.0
R617,0.0,1.0
R618,0.0,1.0
R619,0.0,1.0
R620,0.0,1.0
R621,0.0,1.0
R622,0.0,1.0
R623,0.0,1.0
R624,0.0,1.0
R625,0.0,1.0
R626,0.0,1.0
R627,0.0,1.0
R628,0.0,1.0
R629,0.0,1.0
R630,0.0,1.0
R631,0.0,1.0
R632,0.0,1.0
R633,0.0,1.0
R634,0.0,1.0
R635,0.0,1.0
R636,0.0,1.0
R637,0.0,1.0
R638,0.0,1.0
R639,0.0,1.0
R640,0.0,1.0
R641,0.0,1.0
R642,0.0,1.0
R643,0.0,1.0
R644,0.0,1.0
R645,0.0,1.0
R646,0.0,1.0
R647,0.0,1.0
R648,0.0,1.0
R649,0.0,1.0
R650,0.0,1.0
R651,0.0,1.0
R652,0.0,1.0
R653,0.0,1.0
R654,0.0,1.0
R655,0.0,1.0
R656,0.0,1.0
R657,0.0,1.0
R658,0.0,1.0
R659,0.0,1.0
R660,0.0,1.0
R661,0.0,1.0
R662,0.0,1.0
R663,0.0,1.0
R664,0.0,1.0
R665,0.0,1.0
R666,0.0,1.0
R667,0.0,1.0
R668,0.0,1.0
R669,0.0,1.0
R670,0.0,1.0
R671,0.0,1.0
R672,0.0,1.0
R673,0.0,1.0
R674,0.0,1.0
R675,0.0,1.0
R676,0.0,1.0
R677,0.0,1.0
R678,0.0,1.0
R679,0.0,1.0
R680,0.0,1.0
R681,0.0,1.0
R682,0.0,1.0
R683,0.0,1.0
R684,1.0,0.0
R685,1.0,0.0
R686,1.0,0.0
R687,1.0,0.0
R688,1.0,0.0
R689,1.0,0.0
R690,1.0,0.0
R691,1.0,0.0
R692,1.0,0.0
R693,1.0,0.0
R694,1.0,0.0
R695,1.0,0.0
R696,1.0,0.0
R697,1.0,0.0
R698,1.0,0.0
R699,1.0,0.0
R700,1.0,0.0
R701,1.0,0.0
R702,1.0,0.0
R703,1.0,0.0
R704,1.0,0.0
R705,1.0,0.0
R706,1.0,0.0
R707,1.0,0.0
R708,1.0,0.0
R709,1.0,0.0
R710,1.0,0.0
R711,1.0,0.0
R712,1.0,0.0
R713,1.0,0.0
R714,1.0,0.0
R715,1.0,0.0
R716,1.0,0.0
R717,1.0,0.0
R718,1.0,0.0
R719,1.0,0.0
R720,1.0,0.0
R721,1.0,0.0
R722,1.0,0.0
R723,1.0,0.0
R724,1.0,0.0
R725,1.0,0.0
R726,1.0,0.0
R727,1.0,0.0
R728,1.0,0.0
R729,1.0,0.0
R730,1.0,0.0
R731,1.0,0.0
R732,1.0,0.0
R733,1.0,0.0
R734,1.0,0.0
R735,1.0,0.0
R736,1.0,0.0
R737,1.0,0.0
R738,1.0,0.0
R739,1.0,0.0
R740,1.0,0.0
R741,1.0,0.0
R742,1.0,0.0
R743,1.0,0.0
R744,1.0,0.0
R745,1.0,0.0
R746,1.0,0.0
R747,1.0,0.0
R748,1.0,0.0
R749,1.0,0.0
R750,1.0,0.0
R751,1.0,0.0
R752,1.0,0.0
R753,1.0,0.0
R754,1.0,0.0
R755,1.0,0.0
R756,1.0,0.0
R757,1.0,0.0
R758,1.0,0.0
R759,1.0,0.0
R760,1.0,0.0
R761,1.0,0.0
R762,1.0,0.0
R763,1.0,0.0
R764,1.0,0.0
R765,1.0,0.0
R766,1.0,0.0
R767,1.0,0.0
R768,1.0,0.0
R769,1.0,0.0
R770,1.0,0.0
R771,1.0,0.0
R772,1.0,0.0
R773,1.0,0.0
R774,1.0,0.0
R775,1.0,0.0
R776,1.0,0.0
R777,1.0,0.0
R778,1.0,0.0
R779,1.0,0.0
R780,1.0,0.0
R781,1.0,0.0
R782,1.0,0.0
R783,1.0,0.0
R784,1.0,0.0
R785,1.0,0.0
R786,1.0,0.0
R787,1.0,0.0
R788,1.0,0.0
R789,1.0,0.0
R790,1.0,0.0
R791,1.0,0.0
R792,1.0,0.0
R793,1.0,0.0
R794,1.0,0.0
R795,1.0,0.0
R796,1.0,0.0
R797,1.0,0.0
R798,1.0,0.0
R799,1.0,0.0
R800,1.0,0.0
R801,1.0,0.0
R802,1.0,0.0
R803,1.0,0.0
R804,1.0,0.0
R805,1.0,0.0
R806,1.0,0.0
R807,0.0,0.0
R808,0.0,0.0
R809,0.0,0.0
R810,0.0,0.0
R811,0.0,0.0
R812,0.0,0.0
R813,0.0,0.0
R814,0.0,0.0
R815,0.0,0.0
R816,0.0,0.0
R817,0.0,0.0
R818,0.0,0.0
R819,0.0,0.0
R820,0.0,0.0
R821,0.0,0.0
R822,0.0,0.0
R823,0.0,0.0
R824,0.0,0.0
R825,0.0,0.0
R826,0.0,0.0
R827,0.0,0.0
R828,0.0,0.0
R829,0.0,0.0
R830,0.0,0.0
R831,0.0,0.0
R832,0.0,0.0
R833,0.0,0.0
R834,0.0,0.0
R835,0.0,0.0
R836,0.0,1.0
R837,0.0,1.0
R838,0.0,1.0
R839,0.0,1.0
R840,0.0,1.0
R841,0.0,1.0
R842,0.0,1.0
R843,0.0,1.0
R844,0.0,1.0
R845,0.0,1.0
R846,0.0,1.0
R847,0.0,1.0
R848,0.0,1.0
R849,0.0,1.0
R850,0.0,1.0
R851,0.0,1.0
R852,0.0,1.0
R853,0.0,0.0
R854,0.0,1.0
R855,0.0,1.0
R856,0.0,1.0
R857,0.0,1.0
R858,0.0,0.0
R859,0.0,0.0
R860,0.0,1.0
R861,0.0,1.0
R862,0.0,1.0
R863,0.0,0.0
R864,0.0,0.0
R865,0.0,0.0
R866,0.0,1.0
R867,0.0,1.0
R868,0.0,0.0
R869,0.0,0.0
R870,0.0,0.0
R871,0.0,0.0
R872,0.0,1.0
R873,0.0,0.0
R874,0.0,0.0
R875,0.0,0.0
R876,0.0,0.0
R877,0.0,0.0
R878,0.0,0.0
R879,0.0,0.0
R880,0.0,0.0
R881,0.0,0.0
R882,0.0,0.0
R883,0.0,0.0
R884,0.0,0.0
R885,0.0,0.0
R886,0.0,0.0
R887,0.0,0.0
R888,0.0,0.0
R889,0.0,0.0
R890,0.0,0.0
R891,0.0,0.0
R892,0.0,0.0
R893,0.0,0.0
R894,0.0,0.0
R895,0.0,0.0
R896,0.0,0.0
R897,0.0,0.0
R898,0.0,0.0
R899,0.0,0.0
R900,0.0,0.0
R901,0.0,0.0
R902,0.0,0.0
R903,0.0,0.0
R904,0.0,0.0
R905,0.0,0.0
R906,0.0,0.0
R907,0.0,0.0
R908,0.0,0.0
R909,0.0,0.0
R910,0.0,0.0
R911,0.0,0.0
R912,0.0,0.0
R913,0.0,0.0
R914,0.0,0.0
R915,0.0,0.0
R916,0.0,0.0
R917,0.0,0.0
R918,0.0,0.0
R919,0.0,0.0
R920,0.0,0.0
R921,0.0,0.0
R922,0.0,0.0
R923,0.0,0.0
R924,0.0,0.0
R925,0.0,0.0
R926,0.0,0.0
R927,0.0,0.0
R928,0.0,0.0
R929,0.0,0.0
R930,0.0,0.0
R931,0.0,0.0
R932,0.0,0.0
R933,0.0,0.0
R934,0.0,0.0
R935,0.0,0.0
R936,0.0,0.0
R937,0.0,0.0
R938,0.0,0.0
R939,0.0,0.0
R940,0.0,0.0
R941,0.0,0.0
R942,0.0,0.0
R943,0.0,0.0
R944,0.0,0.0
R945,0.0,0.0
R946,0.0,0.0
R947,0.0,0.0
R948,0.0,0.0
R949,0.0,0.0
R950,0.0,0.0
R951,0.0,0.0
R952,0.0,0.0
R953,1.0,0.0
R954,1.0,0.0
R955,1.0,0.0
R956,1.0,0.0
R957,1.0,0.0
R958,1.0,0.0
R959,1.0,0.0
R960,1.0,0.0
R961,1.0,0.0
R962,1.0,0.0
R963,1.0,0.0
R964,1.0,0.0
R965,1.0,0.0
R966,1.0,0.0
R967,1.0,0.0
R968,1.0,0.0
R969,1.0,0.0
R970,1.0,0.0
R971,1.0,0.0
R972,1.0,0.0
R973,1.0,0.0
R974,1.0,0.0
R975,1.0,0.0
R976,1.0,1.0
R977,1.0,0.0
R978,1.0,0.0
R979,1.0,0.0
R980,1.0,0.0
R981,1.0,1.0
R982,1.0,1.0
R983,1.0,0.0
R984,1.0,0.0
R985,1.0,0.0
R986,1.0,1.0
R987,1.0,1.0
R988,1.0,1.0
R989,1.0,0.0
R990,1.0,0.0
R991,1.0,1.0
R992,1.0,1.0
R993,1.0,1.0
R994,1.0,1.0
R995,1.0,0.0
R996,1.0,1.0
R997,1.0,1.0
R998,1.0,1.0
R999,1.0,1.0
R1000,1.0,1.0
R1001,1.0,0.0
R1002,1.0,0.0
R1003,1.0,0.0
R1004,1.0,0.0
R1005,1.0,0.0
R1006,1.0,0.0
R1007,1.0,1.0
R1008,1.0,1.0
R1009,1.0,1.0
R1010,1.0,1.0
R1011,1.0,1.0
R1012,1.0,1.0
R1013,1.0,1.0
R1014,1.0,1.0
R1015,1.0,1.0
R1016,1.0,1.0
R1017,1.0,1.0
R1018,1.0,1.0
R1019,1.0,1.0
R1020,1.0,1.0
R1021,1.0,1.0
R1022,1.0,1.0
R1023,1.0,1.0
R1024,1.0,1.0
R1025,1.0,1.0
R1026,1.0,1.0
R1027,1.0,1.0
R1028,1.0,1.0
R1029,1.0,1.0
R1030,1.0,1.0
R1031,1.0,1.0
R1032,1.0,1.0
R1033,1.0,1.0
R1034,1.0,1.0
R1035,1.0,1.0
R1036,1.0,1.0
R1037,1.0,1.0
R1038,1.0,1.0
R1039,1.0,1.0
R1040,1.0,1.0
R1041,1.0,1.0
R1042,1.0,1.0
R1043,1.0,1.0
R1044,1.0,1.0
R1045,1.0,1.0
R1046,1.0,1.0
R1047,1.0,1.0
R1048,1.0,1.0
R1049,1.0,1.0
R1050,1.0,1.0
R1051,1.0,1.0
R1052,1.0,1.0
R1053,1.0,1.0
R1054,1.0,1.0
R1055,1.0,1.0
R1056,1.0,1.0
R1057,1.0,1.0
R1058,1.0,1.0
R1059,1.0,1.0
R1060,1.0,1.0
R1061,1.0,1.0
R1062,1.0,1.0
R1063,1.0,1.0
R1064,1.0,1.0
R1065,1.0,1.0
R1066,1.0,1.0
R1067,1.0,1.0
R1068,1.0,1.0
R1069,1.0,1.0
R1070,1.0,1.0
R1071,1.0,1.0
R1072,1.0,1.0
R1073,1.0,1.0
R1074,1.0,1.0
R1075,1.0,1.0
R1076,0.0,0.0
R1077,0.0,0.0
R1078,0.0,0.0
R1079,0.0,0.0
R1080,0.0,0.0
R1081,0.0,0.0
R1082,0.0,0.0
R1083,0.0,0.0
R1084,0.0,0.0
R1085,0.0,0.0
R1086,0.0,0.0
R1087,0.0,0.0
R1088,0.0,0.0
R1089,0.0,0.0
R1090,0.0,0.0
R1091,0.0,0.0
R1092,0.0,0.0
R1093,0.0,0.0
R1094,0.0,0.0
R1095,0.0,0.0
R1096,0.0,0.0
R1097,0.0,0.0
R1098,0.0,0.0
R1099,0.0,0.0
R1100,0.0,0.0
R1101,0.0,0.0
R1102,0.0,0.0
R1103,0.0,0.0
R1104,0.0,0.0
R1105,0.0,0.0
R1106,0.0,0.0
R1107,0.0,0.0
R1108,0.0,0.0
R1109,0.0,0.0
R1110,0.0,0.0
R1111,0.0,0.0
R1112,0.0,0.0
R1113,0.0,0.0
R1114,0.0,0.0
R1115,0.0,0.0
R1116,0.0,0.0
R1117,0.0,0.0
R1118,0.0,0.0
R1119,0.0,0.0
R1120,0.0,0.0
R1121,0.0,0.0
R1122,0.0,0.0
R1123,0.0,0.0
R1124,0.0,0.0
R1125,0.0,0.0
R1126,0.0,0.0
R1127,0.0,0.0
R1128,0.0,1.0
R1129,0.0,0.0
R1130,0.0,0.0
R1131,0.0,0.0
R1132,0.0,0.0
R1133,0.0,1.0
R1134,0.0,1.0
R1135,0.0,0.0
R1136,0.0,0.0
R1137,0.0,0.0
R1138,0.0,1.0
R1139,0.0,1.0
R1140,0.0,1.0
R1141,0.0,0.0
R1142,0.0,0.0
R1143,0.0,1.0
R1144,0.0,1.0
R1145,0.0,1.0
R1146,0.0,1.0
R1147,0.0,0.0
R1148,0.0,1.0
R1149,0.0,1.0
R1150,0.0,1.0
R1151,0.0,1.0
R1152,0.0,1.0
R1153,0.0,0.0
R1154,0.0,0.0
R1155,0.0,0.0
R1156,0.0,0.0
R1157,0.0,0.0
R1158,0.0,0.0
R1159,0.0,1.0
R1160,0.0,1.0
R1161,0.0,1.0
R1162,0.0,1.0
R1163,0.0,1.0
R1164,0.0,1.0
R1165,0.0,1.0
R1166,0.0,1.0
R1167,0.0,1.0
R1168,0.0,1.0
R1169,0.0,1.0
R1170,0.0,1.0
R1171,0.0,1.0
R1172,0.0,1.0
R1173,0.0,1.0
R1174,0.0,1.0
R1175,0.0,1.0
R1176,0.0,1.0
R1177,0.0,1.0
R1178,0.0,1.0
R1179,0.0,1.0
R1180,0.0,1.0
R1181,0.0,1.0
R1182,0.0,1.0
R1183,0.0,1.0
R1184,0.0,1.0
R1185,0.0,1.0
R1186,0.0,1.0
R1187,0.0,1.0
R1188,0.0,1.0
R1189,0.0,1.0
R1190,0.0,1.0
R1191,0.0,1.0
R1192,0.0,1.0
R1193,0.0,1.0
R1194,0.0,1.0
R1195,0.0,1.0
R1196,0.0,1.0
R1197,0.0,1.0
R1198,0.0,1.0
R1199,0.0,1.0
R1200,0.0,1.0
R1201,0.0,1.0
R1202,0.0,1.0
R1203,0.0,1.0
R1204,0.0,1.0
R1205,0.0,1.0
R1206,0.0,0.0
R1207,0.0,1.0
R1208,0.0,1.0
R1209,0.0,1.0
R1210,0.0,1.0
R1211,0.0,0.0
R1212,0.0,1.0
R1213,0.0,1.0
R1214,0.0,1.0
R1215,0.0,0.0
R1216,0.0,1.0
R1217,0.0,1.0
R1218,0.0,0.0
R1219,0.0,1.0
R1220,0.0,0.0
R1221,0.0,0.0
R1222,1.0,1.0
R1223,1.0,1.0
R1224,1.0,1.0
R1225,1.0,1.0
R1226,1.0,1.0
R1227,1.0,1.0
R1228,1.0,1.0
R1229,1.0,1.0
R1230,1.0,1.0
R1231,1.0,1.0
R1232,1.0,1.0
R1233,1.0,1.0
R1234,1.0,1.0
R1235,1.0,1.0
R1236,1.0,1.0
R1237,1.0,1.0
R1238,1.0,1.0
R1239,1.0,1.0
R1240,1.0,1.0
R1241,1.0,1.0
R1242,1.0,1.0
R1243,1.0,1.0
R1244,1.0,1.0
R1245,1.0,1.0
R1246,1.0,1.0
R1247,1.0,1.0
