vm_id,class,selection_rank_within_class,source_q_cpu,source_q_mem,target_q_cpu,target_q_mem,stress_batch_group,source_avg_cpu_usage,source_avg_mem_usage,selection_score_avg_cpu_plus_mem,observed_coverage_us,cpu_transform,mem_transform
ep_9737a4971f154b6456c6,spot,3,0.4298679867986799,0.0345442898975109,0.49,0.49,,0.28382153072995525,0.023649591907006846,0.3074711226369621,4568867027,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_e423a4239f2ca65f2510,spot,4,0.4273927392739274,0.0345442898975109,0.49,0.49,,0.28169318847160435,0.023426771419806328,0.30511995989141066,3081855488,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_27c14c34e9d530224762,spot,5,0.4158415841584158,0.0345442898975109,0.49,0.49,,0.2798781018780793,0.023600940608365577,0.3034790424864449,3745735720,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_22ec4975414d1c10cf90,spot,6,0.4282178217821782,0.0345442898975109,0.49,0.49,,0.2777795625325307,0.025662425320620148,0.30344198785315085,7428355959,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_2622666398e4a6b7bf48,spot,7,0.4092409240924092,0.0345442898975109,0.49,0.49,,0.2794776652552453,0.022608553474848525,0.30208621873009384,4446244391,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_fb6c185489a7313f0fee,spot,8,0.4249174917491749,0.0345442898975109,0.49,0.49,,0.2758579282440153,0.02433029708314955,0.3001882253271648,17041389766,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_90a1ad89f94a3702e2c6,spot,9,0.4125412541254125,0.0345442898975109,0.49,0.49,,0.2704132201449229,0.023914218674385392,0.2943274388193083,4463304983,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_aa651b60d05c2552720b,spot,10,0.4063531353135313,0.0345442898975109,0.49,0.49,,0.2712776581379218,0.02220490269292343,0.29348256083084523,3744607126,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_4a2d3385ab17f656ba11,batch_candidate,1,0.4257425742574257,0.2225475841874085,0.49,0.49,stress_family_000,0.13708402090209018,0.16051656295754022,0.2976005838596304,86400000000,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_ccfb8a0f25631004759a,batch_candidate,2,0.4207920792079208,0.0883967789165446,0.49,0.49,stress_family_000,0.13451847336890135,0.02914562183539559,0.16366409520429695,3131731723,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_d57d7f4656422c641ee5,batch_candidate,3,0.4265676567656766,0.1070644216691068,0.49,0.49,stress_family_000,0.12447694359834835,0.032786070186829774,0.15726301378517812,3274731652,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_5d6a776897346bfa7605,batch_candidate,4,0.1415016501650165,0.4443631039531479,0.49,0.49,stress_family_000,0.010128652090058489,0.1381541210419133,0.14828277313197177,6080174114,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_ef41f9e986fe26e2d03b,batch_candidate,5,0.1456270627062706,0.4443631039531479,0.48,0.48,stress_family_001,0.00517830235695932,0.14281355472846294,0.14799185708542226,10132943777,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_0c2e9f159438610d2d11,batch_candidate,6,0.1379950495049505,0.4443631039531479,0.48,0.48,stress_family_001,0.007415223148969279,0.1310455631003396,0.13846078624930888,5971174322,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_82cbe00827435fff0953,batch_candidate,7,0.1421204620462046,0.085010980966325,0.48,0.48,stress_family_001,0.0807338633218367,0.056168740953536814,0.1369026042753735,7016000000,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_1563b2ca313c71a7361b,batch_candidate,8,0.1864686468646864,0.0530746705710102,0.47,0.47,stress_family_002,0.11773832127169644,0.01601729767217669,0.1337556189438731,22216399063,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_bd249b80fea7ccf4e254,batch_candidate,9,0.1415016501650165,0.4443631039531479,0.47,0.47,stress_family_002,0.00887993180295654,0.1219459909832082,0.13082592278616473,4385011771,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_a0722f22616aabf4ec6d,batch_candidate,10,0.1144801980198019,0.1072474377745241,0.47,0.47,stress_family_002,0.05604757424304867,0.07430963327874092,0.1303572075217896,8796292697,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
