vm_id,class,selection_rank_within_class,selection_method,selection_score_name,selection_score_value,eligible_rank_within_class,eligible_candidate_count,eligibility_rule,reference_selection_rank_within_class,reference_eligible_rank_within_class,reference_selection_score_avg_cpu_plus_mem,q_cpu,q_mem,coverage_weighted_avg_cpu_usage,coverage_weighted_avg_mem_usage,observed_coverage_us,observed_5min_rows,arrival_t5,departure_t5,lifetime_t5,resource_transform
ep_aa0e2ea87e9f11d208a3,on_demand,11,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10800559222588921,11,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.2442244224422442,0.1248169838945827,0.10800559222588921,0.10218621634537167,86400000000,288,0,288,288,none; exact canonical values copied
ep_13e286ccbb1992dee967,on_demand,12,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10745088180693066,12,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.25,0.1248169838945827,0.10745088180693066,0.10190247783471608,86400000000,288,0,288,288,none; exact canonical values copied
ep_24abcd489982eda36e82,on_demand,13,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10728543557480744,13,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.2289603960396039,0.1248169838945827,0.10728543557480744,0.10240767854237835,86400000000,288,0,288,288,none; exact canonical values copied
ep_9ba2882c8df6230dd2dc,on_demand,14,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10673430624312427,14,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.1870874587458746,0.1248169838945827,0.10673430624312427,0.10185894796242065,86400000000,288,0,288,288,none; exact canonical values copied
ep_cd6fc3cb9e87f5e3b9c4,on_demand,15,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10666769801980193,15,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.2438118811881188,0.1248169838945827,0.10666769801980193,0.10206674749877985,86400000000,288,0,288,288,none; exact canonical values copied
ep_87e46ec8310a3223818a,on_demand,16,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.1061677782361569,16,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.2145214521452145,0.1248169838945827,0.1061677782361569,0.10191423407759878,86400000000,288,0,288,288,none; exact canonical values copied
ep_dbb30e22e6d8cf68718f,on_demand,17,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10595470354327095,17,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.252062706270627,0.1248169838945827,0.10595470354327095,0.10200065834960138,86400000000,288,0,288,288,none; exact canonical values copied
ep_2009a5703b1ce7e73d90,on_demand,18,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10558406101026764,18,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.2462871287128712,0.1248169838945827,0.10558406101026764,0.10236541961525944,86400000000,288,0,288,288,none; exact canonical values copied
ep_8734e8e23a0140428a5f,on_demand,19,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10521055360744404,19,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.2083333333333333,0.1248169838945827,0.10521055360744404,0.10208485846754509,86400000000,288,0,288,288,none; exact canonical values copied
ep_eb8222d09ecc3c3ef25a,on_demand,20,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10489423942394235,20,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.226072607260726,0.1248169838945827,0.10489423942394235,0.10246572607480363,49500000000,165,0,167,167,none; exact canonical values copied
ep_4eba5106e437fa81d3cb,spot,1,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",1,1,0.3103622400582071,0.4203795379537954,0.0345442898975109,0.28839960263848524,0.021962637419721855,4579593492,16,115,131,16,none; exact canonical values copied
ep_0b88be7a95f9bb2c39ba,spot,2,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",2,2,0.307573642011311,0.4063531353135313,0.0345442898975109,0.2855531635590013,0.02202047845230971,5539929218,19,66,85,19,none; exact canonical values copied
ep_9737a4971f154b6456c6,spot,3,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",3,3,0.3074711226369621,0.4298679867986799,0.0345442898975109,0.28382153072995525,0.023649591907006846,4568867027,16,14,30,16,none; exact canonical values copied
ep_e423a4239f2ca65f2510,spot,4,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",4,4,0.3051199598914106,0.4273927392739274,0.0345442898975109,0.28169318847160435,0.023426771419806328,3081855488,12,84,96,12,none; exact canonical values copied
ep_27c14c34e9d530224762,spot,5,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",5,5,0.3034790424864449,0.4158415841584158,0.0345442898975109,0.2798781018780793,0.023600940608365577,3745735720,14,49,63,14,none; exact canonical values copied
ep_22ec4975414d1c10cf90,spot,6,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",6,6,0.3034419878531508,0.4282178217821782,0.0345442898975109,0.2777795625325307,0.025662425320620148,7428355959,25,226,251,25,none; exact canonical values copied
ep_2622666398e4a6b7bf48,spot,7,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",7,7,0.3020862187300938,0.4092409240924092,0.0345442898975109,0.2794776652552453,0.022608553474848525,4446244391,15,99,114,15,none; exact canonical values copied
ep_fb6c185489a7313f0fee,spot,8,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",8,8,0.3001882253271648,0.4249174917491749,0.0345442898975109,0.2758579282440153,0.02433029708314955,17041389766,58,138,197,59,none; exact canonical values copied
ep_90a1ad89f94a3702e2c6,spot,9,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",9,9,0.2943274388193083,0.4125412541254125,0.0345442898975109,0.2704132201449229,0.023914218674385392,4463304983,16,113,129,16,none; exact canonical values copied
ep_aa651b60d05c2552720b,spot,10,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",10,10,0.2934825608308452,0.4063531353135313,0.0345442898975109,0.2712776581379218,0.02220490269292343,3744607126,13,85,98,13,none; exact canonical values copied
ep_4a2d3385ab17f656ba11,batch_candidate,1,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",1,1,0.2976005838596304,0.4257425742574257,0.2225475841874085,0.13708402090209018,0.16051656295754022,86400000000,288,0,288,288,none; exact canonical values copied
ep_ccfb8a0f25631004759a,batch_candidate,2,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",2,2,0.1636640952042969,0.4207920792079208,0.0883967789165446,0.13451847336890135,0.02914562183539559,3131731723,12,215,227,12,none; exact canonical values copied
ep_d57d7f4656422c641ee5,batch_candidate,3,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",3,3,0.1572630137851781,0.4265676567656766,0.1070644216691068,0.12447694359834835,0.032786070186829774,3274731652,12,215,227,12,none; exact canonical values copied
ep_5d6a776897346bfa7605,batch_candidate,4,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",4,4,0.1482827731319717,0.1415016501650165,0.4443631039531479,0.010128652090058489,0.1381541210419133,6080174114,22,23,45,22,none; exact canonical values copied
ep_ef41f9e986fe26e2d03b,batch_candidate,5,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",5,5,0.1479918570854222,0.1456270627062706,0.4443631039531479,0.00517830235695932,0.14281355472846294,10132943777,35,22,57,35,none; exact canonical values copied
ep_0c2e9f159438610d2d11,batch_candidate,6,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",6,6,0.1384607862493088,0.1379950495049505,0.4443631039531479,0.007415223148969279,0.1310455631003396,5971174322,21,24,45,21,none; exact canonical values copied
ep_82cbe00827435fff0953,batch_candidate,7,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",7,7,0.1369026042753735,0.1421204620462046,0.085010980966325,0.0807338633218367,0.056168740953536814,7016000000,24,264,288,24,none; exact canonical values copied
ep_1563b2ca313c71a7361b,batch_candidate,8,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",8,8,0.1337556189438731,0.1864686468646864,0.0530746705710102,0.11773832127169644,0.01601729767217669,22216399063,75,87,162,75,none; exact canonical values copied
ep_bd249b80fea7ccf4e254,batch_candidate,9,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",9,9,0.1308259227861647,0.1415016501650165,0.4443631039531479,0.00887993180295654,0.1219459909832082,4385011771,15,23,38,15,none; exact canonical values copied
ep_a0722f22616aabf4ec6d,batch_candidate,10,fixed exact ID and within-class order from reference fixture,not re-ranked,,,,"reference fixture membership, revalidated against canonical data",10,10,0.1303572075217896,0.1144801980198019,0.1072474377745241,0.05604757424304867,0.07430963327874092,8796292697,30,59,89,30,none; exact canonical values copied
